epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.043825,0.808626,0.023866,0.808468,0.947368,0.653226,0.773270
2,0.00099961,0.025893,0.893425,0.116450,0.582661,0.886792,0.189516,0.312292
3,0.00099846,0.021335,0.908291,0.157427,0.491935,0.000000,0.000000,0.000000
4,0.00099653,0.020740,0.913526,0.016126,0.800403,0.980645,0.612903,0.754342
5,0.00099384,0.021758,0.910595,0.009836,0.987903,0.976378,1.000000,0.988048
6,0.00099039,0.015584,0.934883,0.022550,0.816532,0.948571,0.669355,0.784870
7,0.00098618,0.017950,0.929020,0.025189,0.838710,0.988372,0.685484,0.809524
8,0.00098123,0.017558,0.929858,0.193562,0.691532,0.989691,0.387097,0.556522
9,0.00097553,0.014459,0.940745,0.010560,0.973790,0.983539,0.963710,0.973523
10,0.00096910,0.015238,0.936348,0.008650,0.895161,0.980392,0.806452,0.884956
11,0.00096194,0.015205,0.940536,0.019398,0.935484,0.961538,0.907258,0.933610
12,0.00095407,0.012374,0.949121,0.013010,0.897177,0.985222,0.806452,0.886918
13,0.00094550,0.011856,0.949749,0.016280,0.983871,0.968750,1.000000,0.984127
14,0.00093625,0.014041,0.943467,0.376345,0.689516,0.979592,0.387097,0.554913
15,0.00092632,0.013641,0.946608,0.009824,0.947581,0.991150,0.903226,0.945148
16,0.00091573,0.012572,0.949958,0.029697,0.713710,0.981818,0.435484,0.603352
17,0.00090451,0.012778,0.951843,0.010860,0.901210,0.985366,0.814516,0.891832
18,0.00089266,0.011421,0.952680,0.008805,0.941532,0.982379,0.899194,0.938947
19,0.00088020,0.010609,0.956030,0.012782,0.899194,1.000000,0.798387,0.887892
20,0.00086716,0.016800,0.933836,0.008787,0.985887,0.980080,0.991935,0.985972
